artikelnummer,typicality,
7091613,0.90149766,
7091614,0.9033064,
7091857,0.6396939,
7091858,0.69055825,
7092609,0.9073828,
7092611,0.8903716,
7092794,0.6171151,
7093867,0.58511406,
7093936,0.72334,
7093937,0.74447924,
7093940,0.70314544,
7093943,0.7320207,
7093944,0.61732596,
7095098,0.8912931,
7095373,0.7665282,
7095400,0.5894628,
7095409,0.6359668,
7095603,0.7570799,
7095605,0.91418993,
7095608,0.7043126,
7095609,0.6970177,
7095611,0.69585997,
7095635,0.8588922,
7095806,0.8337725,
7095807,0.8422568,
7095808,0.8603938,
7095810,0.87495214,
7095811,0.772836,
7095812,0.7997056,
7095813,0.76692986,
7095814,0.75525427,
7096144,0.6588467,
7096622,0.9052156,
7096645,0.67553556,
7097445,0.8494887,
7097447,0.77929235,
7102681,0.6252894,
7102683,0.6340967,
7102734,0.83680475,
7102735,0.85263294,
7102737,0.7681944,
7102811,0.7772768,
7106338,0.21271469,
7106339,0.2401039,
7106341,0.21596088,
7106489,0.8980772,
7107546,0.2708152,
7107564,0.2524117,
7107579,0.2582306,
7107609,0.26468337,
7107613,0.2560459,
7107616,0.267752,
7108507,0.8709003,
7108988,0.90200007,
7108989,0.9004541,
7109280,0.81399333,
7111243,0.7861499,
7111374,0.6988489,
7112478,0.38714877,
7114437,0.80944484,
7114438,0.8398394,
7114879,0.84782994,
7114880,0.77287185,
7114884,0.7359128,
7114885,0.6542189,
7115360,0.7121378,
7115361,0.916346,
7115521,0.7640429,
7115529,0.7269095,
7115530,0.79404706,
7115534,0.7754799,
7118436,0.7314765,
7120093,0.8622852,
7120094,0.80693966,
7120095,0.8055683,
7120096,0.8184187,
7120097,0.87541837,
7120098,0.88461024,
7120101,0.53533113,
7120102,0.56953454,
7120103,0.68580234,
7120104,0.77398527,
7120105,0.57655877,
7120106,0.7055329,
7120107,0.847108,
7121622,0.8410474,
7121801,0.13014121,
7122271,0.8088566,
7122999,0.79502356,
7123000,0.78528905,
7123001,0.825897,
7123002,0.7889954,
7123003,0.8764779,
7123004,0.89391106,
7123954,0.84293264,
7124752,0.8700469,
7125743,0.92110986,
7125746,0.75795484,
7125838,0.8568161,
7126004,0.6243153,
7126005,0.6307491,
7126039,0.92270744,
7126040,0.5977688,
7126041,0.57811886,
7126052,0.9070986,
7126850,0.7560138,
7126887,0.93357193,
7126888,0.94877106,
7126889,0.88786316,
7127073,0.64042324,
7127159,0.60560644,
7127162,0.55242914,
7127168,0.5288297,
7127372,0.49954316,
7127374,0.48431617,
7127376,0.49953887,
7127378,0.58364344,
7127379,0.44356388,
7127381,0.5232026,
7127382,0.56647295,
7127383,0.60751253,
7127507,0.78539985,
7127831,0.838678,
7128010,0.70054185,
7128071,0.6363042,
7128072,0.8503912,
7128164,0.7834536,
7128165,0.7644551,
7128465,0.84466255,
7128466,0.82300764,
7128488,0.8036364,
7128489,0.709608,
7128490,0.7302791,
7129334,0.75270766,
7129336,0.83575934,
7129352,0.61315054,
7129353,0.66501683,
7129887,0.2699452,
7129888,0.28844628,
7129890,0.27391738,
7129891,0.32237664,
7129892,0.29284683,
7129893,0.2927012,
7129894,0.310134,
7129895,0.3129267,
7129898,0.29814738,
7129904,0.28810272,
7129909,0.3408414,
7129952,0.5343913,
7129953,0.43737617,
7129954,0.44322312,
7130027,0.31246603,
7130031,0.22728622,
7130032,0.25638565,
7130033,0.2668537,
7130034,0.2524267,
7130404,0.7796395,
7130425,0.8882477,
7130429,0.8498495,
7130437,0.7264335,
7131671,0.72088796,
7131693,0.7397742,
7131695,0.59603244,
7131699,0.67316717,
7131701,0.78133434,
7131723,0.7147017,
7131724,0.77149844,
7132012,0.36832094,
7132208,0.8253418,
7132210,0.86765075,
7132390,0.8627745,
7132394,0.8992411,
7132402,0.8968368,
7132410,0.897932,
7133719,0.68567216,
7133725,0.72093326,
7134265,0.81595886,
7134266,0.780354,
7134268,0.7197503,
7134269,0.6533845,
7134270,0.73667216,
7134274,0.82194674,
7136662,0.8139963,
7137535,0.8338535,
7137536,0.91769755,
7137550,0.85271364,
7137612,0.8336169,
7137666,0.82891256,
7137668,0.8811685,
7137672,0.80221003,
7137747,0.8895504,
7137805,0.90927374,
7137831,0.8622436,
7137861,0.7772889,
7137872,0.8492095,
7137873,0.6228418,
7137875,0.8249576,
7137878,0.8358004,
7137879,0.839808,
7137883,0.7523471,
7138873,0.8600022,
7138898,0.809668,
7139480,0.8585005,
7139481,0.8966368,
7139745,0.3155352,
7142421,0.26932356,
7142422,0.2735749,
7142423,0.26104948,
7142424,0.28611025,
7142425,0.2702827,
7142426,0.2636417,
7142427,0.2811866,
7142428,0.25393528,
7142429,0.28879434,
7142472,0.8277565,
7142910,0.77374077,
7143260,0.681358,
7145610,0.64544684,
7145611,0.9146753,
7145612,0.7889492,
7146310,0.6086116,
7146311,0.58948004,
7146312,0.5276082,
7146951,0.56361216,
7147052,0.8485638,
7147053,0.86298937,
7147054,0.46236467,
7147055,0.43801153,
7147056,0.5412614,
7147401,0.62337774,
7148617,0.8774677,
7148653,0.7562974,
7148654,0.79977965,
7148687,0.8542863,
7149336,0.5990431,
7149337,0.5314169,
7149609,0.5313297,
7149610,0.5475982,
7149612,0.5930454,
7149613,0.61117077,
7149614,0.60820585,
7149615,0.58523256,
7149623,0.5841414,
7149624,0.4293297,
7149625,0.60048246,
7149626,0.50107723,
7150062,0.8149691,
7150089,0.8203146,
7150139,0.8512276,
7150149,0.67284775,
7150853,0.91174215,
7150854,0.8808247,
7150855,0.8868434,
7150970,0.5870521,
7150971,0.71389776,
7150980,0.7489297,
7151428,0.44007596,
7151433,0.64041317,
7151445,0.71043164,
7151454,0.7235978,
7151470,0.85106677,
7151491,0.8220633,
7151492,0.8155044,
7151496,0.6838705,
7151498,0.7798172,
7151500,0.65883946,
7151501,0.6381385,
7151503,0.7372438,
7152840,0.70241654,
7152841,0.5237566,
7152842,0.5797,
7152843,0.61428505,
7152844,0.5816965,
7152845,0.68658733,
7152914,0.8156217,
7152916,0.703891,
7152920,0.6118142,
7152922,0.50531155,
7152923,0.7011737,
7152963,0.62757814,
7152964,0.6023716,
7152976,0.5896702,
7152977,0.57144934,
7152978,0.60435754,
7152979,0.6247091,
7152980,0.61694753,
7152981,0.7367447,
7153881,0.71039,
7153951,0.7689313,
7153953,0.53315705,
7154452,0.59008646,
7154586,0.9041731,
7154588,0.9041731,
7155623,0.4161422,
7155693,0.7738906,
7155695,0.691046,
7155696,0.724596,
7155698,0.82766837,
7155725,0.87187284,
7155738,0.8385651,
7155741,0.6895527,
7155764,0.7740732,
7156365,0.8286586,
7156500,0.9496886,
7156502,0.8418551,
7156521,0.9232968,
7156736,0.7689884,
7157235,0.8386163,
7157236,0.7503409,
7157238,0.7700725,
7157254,0.80702585,
7157392,0.8035227,
7158156,0.8630309,
7158157,0.90627676,
7158171,0.88388926,
7158175,0.8179264,
7158176,0.8883558,
7158194,0.9214605,
7158741,0.7888543,
7158764,0.77810717,
7158933,0.8985533,
7158934,0.9029555,
7158935,0.925981,
7158936,0.93265533,
7159120,0.29449263,
7159121,0.26048928,
7159123,0.22086352,
7159125,0.20550118,
