artikelnummer,image_name,typicality
6688180,6688180_1.jpg,0.6611207
6692299,6692299_1.jpg,0.87190396
6692302,6692302_1.jpg,0.7913372
6692667,6692667_1.jpg,0.88077
6692668,6692668_1.jpg,0.8345336
6705950,6705950_1.jpg,0.8140935
6732771,6732771_1.jpg,0.82614
6737610,6737610_1.jpg,0.8513642
6737633,6737633_1.jpg,0.8421811
6737643,6737643_1.jpg,0.8802907
6750718,6750718_1.jpg,0.5096138
6751883,6751883_1.jpg,0.86153764
6757682,6757682_1.jpg,0.89213973
6757683,6757683_1.jpg,0.92880774
6784707,6784707_1.jpg,0.82876146
6795784,6795784_1.jpg,0.6722424
6799603,6799603_1.jpg,0.74823016
6799604,6799604_1.jpg,0.76810247
6799816,6799816_1.jpg,0.75770074
6799817,6799817_1.jpg,0.72224265
6799818,6799818_1.jpg,0.7286978
6799819,6799819_1.jpg,0.8092515
6799820,6799820_1.jpg,0.79266036
7008673,7008673_1.jpg,0.8988414
6831991,6831991_1.jpg,0.74443436
6831992,6831992_1.jpg,0.8222446
6831993,6831993_1.jpg,0.8044033
6831994,6831994_1.jpg,0.81323904
6833625,6833625_1.jpg,0.79921097
6833626,6833626_1.jpg,0.7606173
6833627,6833627_1.jpg,0.9235205
6836468,6836468_1.jpg,0.17862333
6939137,6939137_1.jpg,0.9087853
6939144,6939144_1.jpg,0.8819056
6939145,6939145_1.jpg,0.9041416
6939146,6939146_1.jpg,0.9041416
6939147,6939147_1.jpg,0.8641517
6939148,6939148_1.jpg,0.8641517
7027082,7027082_1.jpg,0.8331517
7027081,7027081_1.jpg,0.8331517
6842741,6842741_1.jpg,0.8538511
6842742,6842742_1.jpg,0.8145674
6842743,6842743_1.jpg,0.83625686
6848990,6848990_1.jpg,0.54463273
6850842,6850842_1.jpg,0.81224024
6850843,6850843_1.jpg,0.7919967
6850844,6850844_1.jpg,0.90086925
6858973,6858973_1.jpg,0.7820461
6858974,6858974_1.jpg,0.79603624
